2018-04-22T19:23:46.0595968+01:00 BallTracking (0.09643798, 0.2871846) 
2018-04-22T19:23:46.0679040+01:00 BallTracking (0.09547598, 0.2865621) 
2018-04-22T19:23:46.0762368+01:00 BallTracking (0.09451398, 0.2859397) 
2018-04-22T19:23:46.0845696+01:00 BallTracking (0.09355197, 0.2853172) 
2018-04-22T19:23:46.0929280+01:00 BallTracking (0.09258997, 0.2846947) 
2018-04-22T19:23:46.1012480+01:00 BallTracking (0.09162796, 0.2840723) 
2018-04-22T19:23:46.1095808+01:00 BallTracking (0.09066597, 0.2834498) 
2018-04-22T19:23:46.1179264+01:00 BallTracking (0.08970396, 0.2828273) 
2018-04-22T19:23:46.1262464+01:00 BallTracking (0.08874196, 0.2822048) 
2018-04-22T19:23:46.1345920+01:00 BallTracking (0.08777995, 0.2815824) 
2018-04-22T19:23:46.1428992+01:00 BallTracking (0.08681795, 0.2809599) 
2018-04-22T19:23:46.1512448+01:00 BallTracking (0.08585595, 0.2803374) 
2018-04-22T19:23:46.1595776+01:00 BallTracking (0.08489394, 0.2797149) 
2018-04-22T19:23:46.1679104+01:00 BallTracking (0.08393194, 0.2790925) 
2018-04-22T19:23:46.1762688+01:00 BallTracking (0.08296994, 0.27847) 
2018-04-22T19:23:46.1845760+01:00 BallTracking (0.08200794, 0.2778475) 
2018-04-22T19:23:46.1929216+01:00 BallTracking (0.08104593, 0.277225) 
2018-04-22T19:23:46.2012416+01:00 BallTracking (0.08008393, 0.2766026) 
2018-04-22T19:23:46.2095744+01:00 BallTracking (0.07912192, 0.2759801) 
2018-04-22T19:23:46.2179072+01:00 BallTracking (0.07815992, 0.2753576) 
2018-04-22T19:23:46.2262528+01:00 BallTracking (0.07719792, 0.2747352) 
2018-04-22T19:23:46.2345984+01:00 BallTracking (0.07623591, 0.2741127) 
2018-04-22T19:23:46.2429824+01:00 BallTracking (0.07527391, 0.2734902) 
2018-04-22T19:23:46.2513920+01:00 BallTracking (0.07431191, 0.2728677) 
2018-04-22T19:23:46.2596736+01:00 BallTracking (0.07334991, 0.2722453) 
2018-04-22T19:23:46.2679296+01:00 BallTracking (0.0723879, 0.2716228) 
2018-04-22T19:23:46.2762496+01:00 BallTracking (0.0714259, 0.2710003) 
2018-04-22T19:23:46.2846592+01:00 BallTracking (0.0704639, 0.2703778) 
2018-04-22T19:23:46.2929280+01:00 BallTracking (0.06950189, 0.2697554) 
2018-04-22T19:23:46.3012480+01:00 BallTracking (0.06853989, 0.2691329) 
2018-04-22T19:23:46.3096064+01:00 BallTracking (0.06757788, 0.2685104) 
2018-04-22T19:23:46.3179264+01:00 BallTracking (0.06661588, 0.267888) 
2018-04-22T19:23:46.3262592+01:00 BallTracking (0.06565388, 0.2672655) 
2018-04-22T19:23:46.3345920+01:00 BallTracking (0.06469188, 0.266643) 
2018-04-22T19:23:46.3429248+01:00 BallTracking (0.06372987, 0.2660205) 
2018-04-22T19:23:46.3512704+01:00 BallTracking (0.06276787, 0.2653981) 
2018-04-22T19:23:46.3596032+01:00 BallTracking (0.06180587, 0.2647756) 
2018-04-22T19:23:46.3679360+01:00 BallTracking (0.06084386, 0.2641531) 
2018-04-22T19:23:46.3762816+01:00 BallTracking (0.05988186, 0.2635307) 
2018-04-22T19:23:46.3849728+01:00 BallTracking (0.05891986, 0.2629082) 
2018-04-22T19:23:46.3933184+01:00 BallTracking (0.05795785, 0.2622857) 
2018-04-22T19:23:46.4017408+01:00 BallTracking (0.05699585, 0.2616632) 
2018-04-22T19:23:46.4100864+01:00 BallTracking (0.05603385, 0.2610408) 
2018-04-22T19:23:46.4184064+01:00 BallTracking (0.05507185, 0.2604183) 
2018-04-22T19:23:46.4267392+01:00 BallTracking (0.05410984, 0.2597958) 
2018-04-22T19:23:46.4350976+01:00 BallTracking (0.05314784, 0.2591734) 
2018-04-22T19:23:46.4434048+01:00 BallTracking (0.05218583, 0.2585509) 
2018-04-22T19:23:46.4517504+01:00 BallTracking (0.05122383, 0.2579284) 
2018-04-22T19:23:46.4602112+01:00 BallTracking (0.05026183, 0.2573059) 
2018-04-22T19:23:46.4684416+01:00 BallTracking (0.04929982, 0.2566835) 
2018-04-22T19:23:46.4767744+01:00 BallTracking (0.04833782, 0.256061) 
2018-04-22T19:23:46.4850816+01:00 BallTracking (0.04737582, 0.2554385) 
2018-04-22T19:23:46.4934272+01:00 BallTracking (0.04641382, 0.2548726) 
2018-04-22T19:23:46.5017472+01:00 BallTracking (0.04545181, 0.2543633) 
2018-04-22T19:23:46.5101056+01:00 BallTracking (0.04448981, 0.2539106) 
2018-04-22T19:23:46.5184128+01:00 BallTracking (0.0435278, 0.2535145) 
2018-04-22T19:23:46.5272704+01:00 BallTracking (0.0425658, 0.253175) 
2018-04-22T19:23:46.5351040+01:00 BallTracking (0.0416038, 0.252892) 
2018-04-22T19:23:46.5434240+01:00 BallTracking (0.0406418, 0.2526657) 
2018-04-22T19:23:46.5517568+01:00 BallTracking (0.03967979, 0.2524959) 
2018-04-22T19:23:46.5600896+01:00 BallTracking (0.03871779, 0.2523827) 
2018-04-22T19:23:46.5684224+01:00 BallTracking (0.03775579, 0.2523262) 
2018-04-22T19:23:46.5767808+01:00 BallTracking (0.03679378, 0.2523262) 
2018-04-22T19:23:46.5850880+01:00 BallTracking (0.03583178, 0.2523827) 
2018-04-22T19:23:46.5934208+01:00 BallTracking (0.03486978, 0.2524959) 
2018-04-22T19:23:46.6018944+01:00 BallTracking (0.03390777, 0.2526657) 
2018-04-22T19:23:46.6100864+01:00 BallTracking (0.03294577, 0.252892) 
2018-04-22T19:23:46.6184320+01:00 BallTracking (0.03198377, 0.253175) 
2018-04-22T19:23:46.6267776+01:00 BallTracking (0.03102176, 0.2534579) 
2018-04-22T19:23:46.6350976+01:00 BallTracking (0.03005976, 0.2537408) 
2018-04-22T19:23:46.6434432+01:00 BallTracking (0.02909776, 0.2540238) 
2018-04-22T19:23:46.6517888+01:00 BallTracking (0.02813575, 0.2543067) 
2018-04-22T19:23:46.6600960+01:00 BallTracking (0.02717375, 0.2545897) 
2018-04-22T19:23:46.6686592+01:00 BallTracking (0.02621175, 0.2548726) 
2018-04-22T19:23:46.6767744+01:00 BallTracking (0.02524975, 0.2551556) 
2018-04-22T19:23:46.6854144+01:00 BallTracking (0.02428774, 0.2554385) 
2018-04-22T19:23:46.6937472+01:00 BallTracking (0.02332574, 0.2557214) 
2018-04-22T19:23:46.7020928+01:00 BallTracking (0.02236374, 0.2560044) 
2018-04-22T19:23:46.7104256+01:00 BallTracking (0.02140173, 0.2562873) 
2018-04-22T19:23:46.7187840+01:00 BallTracking (0.02043973, 0.2565703) 
2018-04-22T19:23:46.7270912+01:00 BallTracking (0.01947773, 0.2568532) 
2018-04-22T19:23:46.7354368+01:00 BallTracking (0.01851572, 0.2571362) 
2018-04-22T19:23:46.7437440+01:00 BallTracking (0.01755372, 0.2574191) 
2018-04-22T19:23:46.7520896+01:00 BallTracking (0.01659172, 0.2577021) 
2018-04-22T19:23:46.7604224+01:00 BallTracking (0.01562971, 0.257985) 
2018-04-22T19:23:46.7687552+01:00 BallTracking (0.01466771, 0.2582679) 
2018-04-22T19:23:46.7771136+01:00 BallTracking (0.01370571, 0.2585509) 
2018-04-22T19:23:46.7854208+01:00 BallTracking (0.0127437, 0.2588338) 
2018-04-22T19:23:46.7937792+01:00 BallTracking (0.0117817, 0.2591168) 
2018-04-22T19:23:46.8020864+01:00 BallTracking (0.0108197, 0.2593997) 
2018-04-22T19:23:46.8104192+01:00 BallTracking (0.009857694, 0.2596827) 
